Timestamp,What is your age group?,What's your Gender ?,What is your primary method of payment for daily personal expenses? ,"On average, how much money (in EGP) do you spend daily on non-essential items (e.g., coffee, snacks, entertainment)? ","How many times per week do you typically make an ""Emergent purchase"" (buying something you did not plan to buy)? ",How often do you actively track your daily spending? ,"In your personal experience, do you feel you spend more freely when using digital payment methods compared to using physical cash? ","How many active paid monthly subscriptions do you currently have (e.g., Netflix, Spotify, Gym, Anghami)? ",What makes you choose to pay with physical CASH over digital methods? ,"What makes you choose to pay with DIGITAL methods (Cards, E-Wallets) over cash? "
2026/04/06 7:59:57 PM GMT+2,18–24,Female,Debit/Credit Card,More than 300 EGP,3 – 4 times,Sometimes,"Yes, I spend more digitally",3 – 4 subscriptions,Helps me physically see what I am spending (better budget control);Accepted everywhere (including small kiosks and street vendors);Safer from online fraud or hacking;I don't have to worry about network issues or system errors,"More convenient and faster (no need to count change);Safer than carrying around large amounts of physical money;The app automatically tracks my expenses for me;Offers rewards, discounts, or cashback points;Necessary for online shopping and subscriptions;Easier to split bills with friends (e.g., InstaPay)"
2026/04/06 8:00:34 PM GMT+2,18–24,Female,"E-Wallet (e.g., Vodafone Cash, InstaPay)",101 – 200 EGP,3 – 4 times,Never,"Yes, I spend more digitally",3 – 4 subscriptions,Accepted everywhere (including small kiosks and street vendors),"More convenient and faster (no need to count change);Safer than carrying around large amounts of physical money;Necessary for online shopping and subscriptions;I often don't have enough physical cash on me;Easier to split bills with friends (e.g., InstaPay)"
2026/04/06 9:08:18 PM GMT+2,18–24,Female,Cash,101 – 200 EGP,3 – 4 times,Sometimes,"No, I spend more with physical cash",0 (None),Helps me physically see what I am spending (better budget control);Accepted everywhere (including small kiosks and street vendors);More private (no digital tracking of my purchases);Safer from online fraud or hacking;I don't have to worry about network issues or system errors;Out of habit / I am just used to it,"More convenient and faster (no need to count change);Offers rewards, discounts, or cashback points;Necessary for online shopping and subscriptions;Easier to split bills with friends (e.g., InstaPay)"
2026/04/06 9:09:28 PM GMT+2,18–24,Male,Debit/Credit Card,201 – 300 EGP,1 – 2 times,Sometimes,"Yes, I spend more digitally",0 (None),Accepted everywhere (including small kiosks and street vendors),More convenient and faster (no need to count change)
2026/04/06 9:10:35 PM GMT+2,18–24,Female,Debit/Credit Card,50 – 100 EGP,3 – 4 times,Sometimes,"Yes, I spend more digitally",0 (None),No extra transaction fees or hidden taxes;I don't have to worry about network issues or system errors,"Safer than carrying around large amounts of physical money;I often don't have enough physical cash on me;Easier to split bills with friends (e.g., InstaPay)"
2026/04/06 9:11:51 PM GMT+2,18–24,Male,Debit/Credit Card,50 – 100 EGP,1 – 2 times,Sometimes,I spend about the same either way,1 – 2 subscriptions,Helps me physically see what I am spending (better budget control);Accepted everywhere (including small kiosks and street vendors),"More convenient and faster (no need to count change);The app automatically tracks my expenses for me;Offers rewards, discounts, or cashback points"
2026/04/06 9:12:31 PM GMT+2,18–24,Male,Cash,Less than 50 EGP,0 times (Never),Sometimes,I spend about the same either way,0 (None),Out of habit / I am just used to it,"Safer than carrying around large amounts of physical money;The app automatically tracks my expenses for me;Necessary for online shopping and subscriptions;Easier to split bills with friends (e.g., InstaPay)"
2026/04/06 9:16:08 PM GMT+2,18–24,Male,Cash,Less than 50 EGP,0 times (Never),Sometimes,"Yes, I spend more digitally",0 (None),Helps me physically see what I am spending (better budget control);No extra transaction fees or hidden taxes;Out of habit / I am just used to it,More convenient and faster (no need to count change);Safer than carrying around large amounts of physical money;Necessary for online shopping and subscriptions
2026/04/06 9:16:17 PM GMT+2,18–24,Male,Cash,More than 300 EGP,0 times (Never),Sometimes,I spend about the same either way,0 (None),Helps me physically see what I am spending (better budget control);Accepted everywhere (including small kiosks and street vendors);More private (no digital tracking of my purchases);Safer from online fraud or hacking,"More convenient and faster (no need to count change);The app automatically tracks my expenses for me;Offers rewards, discounts, or cashback points;I often don't have enough physical cash on me"
2026/04/06 9:16:48 PM GMT+2,18–24,Male,Debit/Credit Card,101 – 200 EGP,3 – 4 times,Sometimes,"Yes, I spend more digitally",1 – 2 subscriptions,Helps me physically see what I am spending (better budget control),More convenient and faster (no need to count change)
2026/04/06 9:19:11 PM GMT+2,18–24,Male,Cash,50 – 100 EGP,1 – 2 times,Sometimes,"No, I spend more with physical cash",1 – 2 subscriptions,Helps me physically see what I am spending (better budget control);Accepted everywhere (including small kiosks and street vendors);Safer from online fraud or hacking,I often don't have enough physical cash on me;
2026/04/06 9:20:56 PM GMT+2,18–24,Female,Debit/Credit Card,101 – 200 EGP,1 – 2 times,Rarely,"Yes, I spend more digitally",1 – 2 subscriptions,Out of habit / I am just used to it,More convenient and faster (no need to count change);Safer than carrying around large amounts of physical money
2026/04/06 9:25:25 PM GMT+2,18–24,Male,"E-Wallet (e.g., Vodafone Cash, InstaPay)",50 – 100 EGP,1 – 2 times,Always,"Yes, I spend more digitally",1 – 2 subscriptions,Helps me physically see what I am spending (better budget control);Accepted everywhere (including small kiosks and street vendors),"More convenient and faster (no need to count change);The app automatically tracks my expenses for me;Offers rewards, discounts, or cashback points;Necessary for online shopping and subscriptions;Easier to split bills with friends (e.g., InstaPay)"
2026/04/06 9:26:05 PM GMT+2,18–24,Male,Debit/Credit Card,50 – 100 EGP,1 – 2 times,Sometimes,"Yes, I spend more digitally",0 (None),Accepted everywhere (including small kiosks and street vendors);I don't have to worry about network issues or system errors;Out of habit / I am just used to it,More convenient and faster (no need to count change);Safer than carrying around large amounts of physical money;Necessary for online shopping and subscriptions;I often don't have enough physical cash on me
2026/04/06 9:26:15 PM GMT+2,18–24,Female,Debit/Credit Card,101 – 200 EGP,1 – 2 times,Sometimes,I spend about the same either way,3 – 4 subscriptions,Helps me physically see what I am spending (better budget control);Accepted everywhere (including small kiosks and street vendors);No extra transaction fees or hidden taxes,More convenient and faster (no need to count change);Safer than carrying around large amounts of physical money;Necessary for online shopping and subscriptions;I often don't have enough physical cash on me
2026/04/06 9:26:30 PM GMT+2,18–24,Female,Cash,50 – 100 EGP,1 – 2 times,Rarely,"No, I spend more with physical cash",0 (None),Helps me physically see what I am spending (better budget control);Accepted everywhere (including small kiosks and street vendors);I don't have to worry about network issues or system errors;Out of habit / I am just used to it,"Offers rewards, discounts, or cashback points"
2026/04/06 9:29:19 PM GMT+2,18–24,Female,Debit/Credit Card,Less than 50 EGP,1 – 2 times,Always,"Yes, I spend more digitally",5 or more subscriptions,Helps me physically see what I am spending (better budget control);Accepted everywhere (including small kiosks and street vendors),More convenient and faster (no need to count change);The app automatically tracks my expenses for me
2026/04/06 9:31:23 PM GMT+2,18–24,Female,Cash,More than 300 EGP,1 – 2 times,Sometimes,"No, I spend more with physical cash",3 – 4 subscriptions,Accepted everywhere (including small kiosks and street vendors),Safer than carrying around large amounts of physical money;The app automatically tracks my expenses for me
2026/04/06 9:37:25 PM GMT+2,18–24,Male,Debit/Credit Card,More than 300 EGP,3 – 4 times,Always,"Yes, I spend more digitally",3 – 4 subscriptions,More private (no digital tracking of my purchases);Safer from online fraud or hacking,More convenient and faster (no need to count change)
2026/04/06 9:59:20 PM GMT+2,18–24,Male,Debit/Credit Card,Less than 50 EGP,0 times (Never),Sometimes,"Yes, I spend more digitally",1 – 2 subscriptions,Helps me physically see what I am spending (better budget control),"More convenient and faster (no need to count change);Easier to split bills with friends (e.g., InstaPay)"
2026/04/06 9:59:29 PM GMT+2,Under 18,Female,"E-Wallet (e.g., Vodafone Cash, InstaPay)",50 – 100 EGP,1 – 2 times,Rarely,"Yes, I spend more digitally",1 – 2 subscriptions,Helps me physically see what I am spending (better budget control);Accepted everywhere (including small kiosks and street vendors);More private (no digital tracking of my purchases);Out of habit / I am just used to it,"More convenient and faster (no need to count change);The app automatically tracks my expenses for me;Necessary for online shopping and subscriptions;Easier to split bills with friends (e.g., InstaPay)"
2026/04/06 10:02:16 PM GMT+2,18–24,Male,Cash,Less than 50 EGP,0 times (Never),Always,I spend about the same either way,0 (None),Accepted everywhere (including small kiosks and street vendors);No extra transaction fees or hidden taxes;More private (no digital tracking of my purchases);Safer from online fraud or hacking;I don't have to worry about network issues or system errors;Out of habit / I am just used to it,Safer than carrying around large amounts of physical money
2026/04/06 10:07:32 PM GMT+2,18–24,Male,Cash,50 – 100 EGP,0 times (Never),Rarely,"Yes, I spend more digitally",0 (None),Helps me physically see what I am spending (better budget control);Accepted everywhere (including small kiosks and street vendors);No extra transaction fees or hidden taxes;I don't have to worry about network issues or system errors,"More convenient and faster (no need to count change);Safer than carrying around large amounts of physical money;Necessary for online shopping and subscriptions;I often don't have enough physical cash on me;Easier to split bills with friends (e.g., InstaPay)"
2026/04/06 10:47:07 PM GMT+2,25–34,Male,Cash,Less than 50 EGP,1 – 2 times,Always,"Yes, I spend more digitally",0 (None),Helps me physically see what I am spending (better budget control);Accepted everywhere (including small kiosks and street vendors);More private (no digital tracking of my purchases),
2026/04/06 10:52:41 PM GMT+2,18–24,Female,Cash,50 – 100 EGP,1 – 2 times,Rarely,"Yes, I spend more digitally",0 (None),No extra transaction fees or hidden taxes;Safer from online fraud or hacking,"More convenient and faster (no need to count change);The app automatically tracks my expenses for me;Offers rewards, discounts, or cashback points;I often don't have enough physical cash on me"
2026/04/06 11:30:38 PM GMT+2,18–24,Female,Cash,50 – 100 EGP,1 – 2 times,Rarely,"Yes, I spend more digitally",0 (None),Out of habit / I am just used to it,More convenient and faster (no need to count change)
2026/04/07 12:41:50 AM GMT+2,18–24,Male,Cash,Less than 50 EGP,0 times (Never),Rarely,"Yes, I spend more digitally",0 (None),Helps me physically see what I am spending (better budget control);No extra transaction fees or hidden taxes;More private (no digital tracking of my purchases);Safer from online fraud or hacking;I don't have to worry about network issues or system errors;Out of habit / I am just used to it,"More convenient and faster (no need to count change);Safer than carrying around large amounts of physical money;Offers rewards, discounts, or cashback points;Necessary for online shopping and subscriptions"
2026/04/07 9:17:04 AM GMT+2,18–24,Male,Debit/Credit Card,50 – 100 EGP,1 – 2 times,Rarely,"No, I spend more with physical cash",1 – 2 subscriptions,No extra transaction fees or hidden taxes,Safer than carrying around large amounts of physical money
2026/04/07 10:33:29 AM GMT+2,18–24,Male,Debit/Credit Card,50 – 100 EGP,1 – 2 times,Never,"Yes, I spend more digitally",0 (None),No extra transaction fees or hidden taxes,I often don't have enough physical cash on me
2026/04/07 10:58:04 AM GMT+2,18–24,Female,Cash,Less than 50 EGP,1 – 2 times,Sometimes,"No, I spend more with physical cash",0 (None),Helps me physically see what I am spending (better budget control);Accepted everywhere (including small kiosks and street vendors),Safer than carrying around large amounts of physical money;Necessary for online shopping and subscriptions
2026/04/07 12:49:50 PM GMT+2,18–24,Male,"E-Wallet (e.g., Vodafone Cash, InstaPay)",50 – 100 EGP,1 – 2 times,Rarely,"Yes, I spend more digitally",1 – 2 subscriptions,Helps me physically see what I am spending (better budget control),The app automatically tracks my expenses for me
2026/04/07 12:56:23 PM GMT+2,18–24,Male,Cash,50 – 100 EGP,1 – 2 times,Always,"Yes, I spend more digitally",0 (None),Accepted everywhere (including small kiosks and street vendors),More convenient and faster (no need to count change)
2026/04/07 1:09:37 PM GMT+2,18–24,Male,Debit/Credit Card,More than 300 EGP,1 – 2 times,Sometimes,"Yes, I spend more digitally",1 – 2 subscriptions,Helps me physically see what I am spending (better budget control);Out of habit / I am just used to it,"More convenient and faster (no need to count change);The app automatically tracks my expenses for me;Offers rewards, discounts, or cashback points;Easier to split bills with friends (e.g., InstaPay)"
2026/04/07 1:11:25 PM GMT+2,18–24,Male,Cash,50 – 100 EGP,3 – 4 times,Never,"No, I spend more with physical cash",3 – 4 subscriptions,Accepted everywhere (including small kiosks and street vendors),More convenient and faster (no need to count change)
